date,price
2023-05-18,6966
2023-05-19,6973
2023-05-20,6981
2023-05-21,6988
2023-05-22,6990
2023-05-23,6993
2023-05-24,6998
2023-05-25,7004
2023-05-26,7011
2023-05-27,7015
2023-05-28,7022
2023-05-29,7029
2023-05-30,7036
2023-05-31,7038
2023-06-01,7039
2023-06-02,7038
2023-06-03,7039
2023-06-04,7039
2023-06-05,7038
2023-06-06,7038
2023-06-07,7038
2023-06-08,7037
2023-06-09,7036
2023-06-10,7036
2023-06-11,7036
2023-06-12,7036
2023-06-13,7035
2023-06-14,7034
2023-06-15,7029
2023-06-16,7025
2023-06-17,7019
2023-06-18,7018
2023-06-19,7018
2023-06-20,7012
2023-06-21,7009
2023-06-22,7009
2023-06-23,7009
2023-06-24,7008
2023-06-25,7009
2023-06-26,7010
2023-06-27,7012
2023-06-28,7012
2023-06-29,7013
2023-06-30,7014
2023-07-01,7015
2023-07-02,7017
2023-07-03,7019
2023-07-04,7021
2023-07-05,7026
2023-07-06,7030
2023-07-07,7034
2023-07-08,7034
2023-07-09,7036
2023-07-10,7038
2023-07-11,7042
2023-07-12,7045
2023-07-13,7048
2023-07-14,7050
2023-07-15,7053
2023-07-16,7056
2023-07-17,7058
2023-07-18,7063
2023-07-19,7066
2023-07-20,7070
2023-07-21,7074
2023-07-22,7077
2023-07-23,7080
2023-07-24,7083
2023-07-25,7086
2023-07-26,7089
2023-07-27,7092
2023-07-28,7095
2023-07-29,7098
2023-07-30,7104
2023-07-31,7108
2023-08-01,7111
2023-08-02,7114
2023-08-03,7118
2023-08-04,7123
2023-08-05,7126
2023-08-06,7126
2023-08-07,7126
2023-08-08,7129
2023-08-09,7131
2023-08-10,7133
2023-08-11,7133
2023-08-12,7134
2023-08-13,7134
2023-08-14,7135
2023-08-15,7122
2023-08-16,7109
2023-08-17,7098
2023-08-18,7098
2023-08-19,7084
2023-08-20,7070
2023-08-21,7055
2023-08-22,7041
2023-08-23,7027
2023-08-24,7000
2023-08-25,6988
2023-08-26,6988
2023-08-27,6976
2023-08-28,6965
2023-08-29,6955
2023-08-30,6942
2023-08-31,6927
2023-09-01,6914
2023-09-02,6901
2023-09-03,6874
2023-09-04,6874
2023-09-05,6859
2023-09-06,6845
2023-09-07,6818
2023-09-08,6805
2023-09-09,6805
2023-09-10,6775
2023-09-11,6775
2023-09-14,6732
2023-09-15,6714
2023-09-16,6714
2023-09-17,6710
2023-09-18,6710
2023-09-19,6705
2023-09-20,6705
2023-09-21,6701
2023-09-22,6699
2023-09-23,6696
2023-09-24,6690
2023-09-25,6684
2023-09-26,6676
2023-09-27,6666
2023-09-28,6657
2023-09-29,6650
2023-09-30,6643
2023-10-01,6639
2023-10-02,6631
2023-10-03,6625
2023-10-04,6620
2023-10-05,6613
2023-10-06,6608
2023-10-07,6603
2023-10-08,6599
2023-10-09,6595
2023-10-10,6594
2023-10-11,6594
2023-10-12,6592
2023-10-13,6589
2023-10-14,6586
2023-10-15,6581
2023-10-16,6579
2023-10-17,6577
2023-10-18,6574
2023-10-19,6572
2023-10-20,6571
2023-10-21,6571
2023-10-22,6571
2023-10-23,6572
2023-10-24,6573
2023-10-25,6577
2023-10-26,6580
2023-10-27,6586
2023-10-28,6593
2023-10-29,6601
2023-10-30,6609
2023-10-31,6616
2023-11-01,6620
2023-11-02,6627
2023-11-03,6632
2023-11-04,6638
2023-11-05,6640
2023-11-06,6646
2023-11-07,6651
2023-11-08,6656
2023-11-09,6659
2023-11-10,6662
2023-11-11,6665
2023-11-12,6665
2023-11-13,6665
2023-11-14,6667
2023-11-15,6670
2023-11-16,6673
2023-11-17,6675
2023-11-18,6678
2023-11-19,6680
2023-11-20,6679
2023-11-21,6677
2023-11-22,6675
2023-11-23,6675
2023-11-24,6675
2023-11-25,6676
2023-11-26,6676
2023-11-27,6675
2023-11-28,6674
2023-11-29,6671
2023-11-30,6668
2023-12-01,6665
2023-12-02,6662
2023-12-03,6659
2023-12-04,6658
2023-12-05,6656
2023-12-06,6655
2023-12-07,6654
2023-12-08,6651
2023-12-09,6651
2023-12-10,6645
2023-12-11,6643
2023-12-12,6642
2023-12-13,6642
2023-12-14,5486
2023-12-15,5486
2023-12-16,5486
2023-12-17,5486
2023-12-18,5486
2023-12-19,5486
2023-12-20,5486
2023-12-21,5485
2023-12-22,5485
2023-12-23,5484
2023-12-24,5484
2023-12-25,5484
2023-12-26,5490
2023-12-27,5495
2023-12-28,5500
2023-12-29,5499
2023-12-30,5498
2023-12-31,5497
2024-01-01,5496
2024-01-02,5495
2024-01-03,5495
2024-01-04,5494
2024-01-05,5494
2024-01-06,5493
2024-01-07,5493
2024-01-08,5499
2024-01-09,5504
2024-01-10,5504
2024-01-11,5509
2024-01-12,5515
2024-01-13,5515
2024-01-14,5515
2024-01-15,5515
2024-01-16,5515
2024-01-17,5514
2024-01-18,5514
2024-01-19,5514
2024-01-20,5514
2024-01-21,5514
2024-01-22,5514
2024-01-23,5487
2024-01-24,5461
2024-01-25,5431
2024-01-26,5428
2024-01-27,5425
2024-01-28,5425
2024-01-29,5425
2024-01-30,5425
2024-01-31,5425
2024-02-01,5425
2024-02-02,5425
2024-02-05,5417
2024-02-10,5380
2024-02-11,5370
2024-02-12,5366
2024-02-13,5362
2024-02-14,5358
2024-02-15,5354
2024-02-16,5328
2024-02-17,5301
2024-02-18,5301
2024-02-19,5301
2024-02-20,5301
2024-02-21,5301
2024-02-22,5328
2024-02-23,5355
2024-02-24,5381
2024-02-25,5381
2024-02-26,5381
2024-02-27,5381
2024-02-28,5381
2024-02-29,5381
2024-03-01,5381
2024-03-02,5388
2024-03-03,5395
2024-03-04,5402
2024-03-05,5413
2024-03-06,5417
2024-03-08,5421
2024-03-09,5421
2024-03-10,5421
2024-03-11,5417
2024-03-12,5414
2024-03-13,5410
2024-03-14,5406
2024-03-15,5402
2024-03-16,5399
2024-03-17,5418
2024-03-18,5448
2024-03-19,5451
2024-03-20,5447
2024-03-21,5450
